,TweetsEnglish
0,"Hi, registration is required to participate in the campaign"
1,hi following announcement cppb conditional movement control order branch operation affected area reviewed morning monday friday cppb end
2,hi would appreciate could call ambank contact center check status hire purchase account regard
3,hi provide online receipt merchant transaction successfully transmitted via amonline scroll main page recent amonline transaction download receipt thank you
4,hi mohd ariff kindly refer reply via dm thank you
5,hi kindly provide complete details via dm assistance thank you
6,top smes participant halal quest track selected undergo online training session halal development corporation berhad hdc business pitch qualify next phase info
7,hi fikry rahman apologize ambank call center experiencing high call rate appreciate send message amonline assistance loan account thank you
8,rm could simply spend ambank debit card win ambank debit card chance get win waiting info visit
9,hi ambank call center operating hours morning thanks
10,hi kindly provide complete details via dm checking thank you
11,hi kindly specify following detail checking branch location country home bandar baru rawang time incident thank you
12,ride rbl official hi ride rbl due limited text capacity would appreciate refer reply via dm thank you
13,yuen hi zulkarnain promotion caters new first time car buyer applicable new national vehicle proton amp perodua due limited text capacity would appreciate could dm u full detail said campaign thank you
14,hi faez online transfer conveniently authorized via amonline app kindly specify issue error prompt checking thank you
15,hi pebblepick r kindly specify following detail checking branch location usj central usj taipan time incident thank you
16,hi sofiyyahmustaffa kindly follow step loan payment via amonline transfer money gt choose favorite gt choose gt select loan account ambank listing gt enter amount pay thank you
17,amonline efixed deposit promo december december boost return efd promotion rate p month via amonline use reward code best term condition apply info visit
18,hi robert lim kindly provide complete details via dm escalation thank you
19,hi please specify full information via dm review thank you
20,hi would appreciate could send foreign check check processing center address check processing center level tower wisma amfirst jalan stadium s petaling jaya selangor darul ehsan malaysia thank you
21,"Official Hi, please DM me for help, thank you"
22,hi error indicates mobile number registered tac would appreciate could call contact center pm update mobile number tac thank you
23,hi kent cwc really appreciate contact ambank call center morning update phone number receive tac facility offered via atm thank you
24,official hi please visit site ambank -based payment aid program thank you
25,hi kindly provide complete details via pm assistance thank you
26,pray speedy recovery pls stay safe everyone
27,hi dai afam please submit information dm review thank you
28,nyn official hi judge nayan please submit information dm review thank you
29,hi darthdee apologize ambank call center experiencing high call rate appreciate send message via amonline assistance loan account thank you
30,hi izzatul nadhirah esa would appreciate could send message via amonline app clarification transaction detail may log amonline app gt menu gt inbox gt ammail tab send message thank you
31,targeted repayment assistance program available pls note interest profit charged loan financing applying request visit meanwhile please take care stay safe always
32,hi zaza sabran apologize ambank call center experiencing high call rate appreciate send message via amonline assistance loan account thank you
33,hi rynycute please submit full information dm help thank you
34,hi check message assistance
35,hi kindly advised third party must bring letter administration la amanah raya high court land office nearest ambank branch beneficiary name la letter allowed request car grant regard
36,kimjeon hi kimjeon would appreciate could uninstall current version install new amonline apps via apps store thank you
37,official hi right link access website thank you
38,hi aqil please provide full information dm review thank you
39,hi please submit information pm help thank you
40,dear customer please beware vigilant sm scam ambank never request banking personal information via sm always remember share family friend info visit
41,shop trendiest fashion style get latest beauty deal grab extra rm bonus cashback make first purchase fashion beauty merchant via shopback campaign period november december info visit
42,hi please submit full information pm help thank you
43,hi fckinsey amp co ambank issued directive staff adhere governmental regulatory sop please assured close contact working home necessary precaution taken ensure everyone following new norm sop
44,budget report dato sulaiman mohd tahir group ceo offer thought latest budget targeted focused opposed broad based
45,hafizi hi firdaushafizi replied pm regarding query moratorium thank you
46,hafizi hi firdaus hafizi kindly provide complete details via pm assistance thank you
47,valued cardholder bring important notice regarding ambonus point reward redemption delivery service east malaysia everyone
48,hi kindly refer reply via pm assistance thank you
49,greeting ambank hi may send details u via email customercare com escalation inconvenience caused much regretted regard
50,best wishes ambank hi request cooperation submit passport identification card number phone number review
51,best wishes ambank hi black heart apologize inconvenience thank you payment october thank you
52,happy birthday ambank hi izzatul nazmeen request cooperation inquiry assistance advice
53,hi kindly specify machine location onwards action thank you
54,hi ensure confidentiality security unable to verify account detail via facebook would appreciate account holder could call contact center pm assistance said issue thank you
55,hi black heart informed bank sent notification via sm borrower regarding loan payment moratorium thank you
56,hi black heart informed bank sent notification via sm borrower regarding loan payment moratorium thank you
57,hi pleased inform apps issue resolved affected io user kindly update latest amonline version app store inconvenience caused much regretted thank you
58,hi pleased inform apps issue resolved affected io user kindly update latest amonline version app store inconvenience caused much regretted thank you
59,man hi man pleased inform apps issue resolved affected io user kindly update latest amonline version app store inconvenience caused much regretted thank you
60,hi pleased inform apps issue resolved affected io user kindly update latest amonline version app store inconvenience caused much regretted thank you
61,huat hi lim chin huat kindly advised amidst rectifying issue meanwhile would appreciate could perform transaction via amonline web inconvenience caused much regretted thank you
62,huat hi lim chin huat kindly advised amidst rectifying issue meanwhile would appreciate could perform transaction via amonline web inconvenience caused much regretted thank you
63,hi kindly advised amidst rectifying issue meanwhile would appreciate could perform transaction via amonline web inconvenience caused much regretted thank you
64,hi kindly advised amidst rectifying issue meanwhile would appreciate could perform transaction via amonline web inconvenience caused much regretted thank you
65,pray smooth recovery official statement take care everyone
66,entered workforce ready next progress life get first car u visit nearest perodua showroom find preferential rate see valid oct dec
67,hi would appreciate if you could provide details via pm assistance thank you
68,hi apologize ambank call center experiencing high call rate please specify type transaction error code code displayed amonline review thank you
69,hi kindly specify amonline feature functioning checking thank you
70,hi Juneresources sorry contact center currently experiencing high call volume would appreciate could send message via amonline app assistance said request thank you
71,new amonline app feature amsecure tac le method authorize transaction within app safe seamless experience believe download new amonline app respective app store information go
72,hi report issue amonline app review login amonline app gt gt inbox gt ammail tab press create new message send message via app thank
73,hi kindly provide details via pm assistance thank you
74,hi beacker julian apologize ambank call center experiencing high call rate appreciate check account information via amonline thank you
75,hi bank send notification letter revision loan monthly installment would appreciate could check account details via amonline thank you
76,hi nurul apologize ambank call center high call rate appreciate check loan payment information via amonline thank you
77,hi tiaraross kindly refer reply via pm thank you
78,hi tac required amonline registration using loan account appreciate contact ambank call center online sign tac thank you
79,hi hazwany bank repairing system fund returned account rejection difficulty regretted
80,hi sincerely apologize inconvenience caused kindly advised amidst rectifying issue please assured refund credited account earliest thank you
81,hi muizloda pleased to inform said issue rectified thank you
82,hi dz escalated request respective unit action thank you
83,hi kindly provide details via pm assistance thank you
84,moratorium end today starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
85,official hi kindly provide details via pm assistance thank you
86,hi anisalis please provide information pm help thank you
87,great news extending weekend banking selected ambank branch weekend october post moratorium repayment assistance program refer infographic info visit
88,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
89,hi amirultalib phone number ambank telemarketing marketing unit thank you
90,hi tiqaaa really appreciate check balance loan one following channel amonline contact ambank call center morning thank you
91,hi adisofri ensure confidentiality security unable access account detail via twitter kindly clarify payment status via one following channel send message via amonline app call contact center pm thank you
92,hi ardian kindly provide details via pm assistance thank you
93,hi jack chong would appreciate could liaise ammetlife insurance ammetlife insurance tel fax e mail customercare com website thank you
94,hi ridley kindly provide details via pm assistance thank you
95,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
96,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
97,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
98,bnm support akpk many participating banks including ambank organizing repayment assistance campaign sunday sept next monday sept shah alam affected party wish seek guidance head sacc weekend
99,hi need download amonline mobile app allow transaction please get amonline app apple store update phone thank you
100,hi submit amonline payment receipt grab proof transaction successful deducted thank account
101,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
102,day go end moratorium starting oct continue yourr payment help refer simple guide apply repayment assistance visit detail stay safe everyone
103,selected branch operating weekend amp sept next weekend amp sept pm help require financial assistance moratorium end list branch
104,selected branch operating weekend amp sept amp sept pm help require financial assistance moratorium end list branch
105,save spend amp invest insure u rewarded p campaign valid st september st december amp c apply visit details
106,hi nurul wish inform interest rate stated via amonline actual rate housing loan may clarify interest detail via one following channel send message via amonline app call contact center pm
107,day go end moratorium starting oct continue payment help refer simple guide apply repayment assistance visit detail stay safe everyone
108,day end sukuk concerned subscription minimum subscription rm subscribe digitally via jompay duitnow ambank online channel enjoy p profit rate two year visit detail
109,day go end moratorium starting oct continue yr payment help refer simple guide apply repayment assistance visit detail stay safe everyone
110,greeting ambank hi qienaogata kindly provide details via pm checking thank you
111,hi please submit information pm help thank you
112,hi ehsaneusofe please provide information investigation allegation thank you
113,conjunction nation rd independence day wishes malaysians happy national day
114,hi pradeesh kindly refer reply via pm thank you
115,greeting ambank hi pradeesh would appreciate could refer reply via pm thank you
116,greeting ambank hi shaz would appreciate could provide details via pm assistance thank you
117,introducing sukuk concerned nation first ever digital sukuk established benefit among others rural schoolchildren micro entrepreneur subscribe minimum rm digitally via jompay duitnow ambank online channel visit
118,say hello new amonline app packed enhanced feature designed make mobile banking experience faster safer convenient download information go
119,happy birthday ambank hi erzfl really appreciate contact ambank call center morning help loan account thank you
120,dear valued customer help please read announcement visit assistance meanwhile stay safe take care
121,rafy greeting ambank hi rafee wish inform amonline system accessible may specify error code message prompted checking thank you
122,happy birthday ambank hi muizloda please informed interruption ambank tac system contact ambank call center morning review phone number thank
123,hi shereen ensure confidentiality security unable access account detail via twitter would appreciate could send message via amonline u retrieve account detail check said transaction status
124,aminvestment bank garnered two awards mirror trade amp learn campaign organized bursa malaysia security berhad joseph chai head retail research aminvestment bank garnered top prize highest portfolio gain placed nd highest engagement follower
125,hi sorry late reply kindly visit assistance thanks
126,imran hi imran sorry hardship face u recommend check google playstore update amonline app new user
127,hi glad learn enjoying new amonline continue to enhance online banking platform better serve customer
128,thanks tweet made day
129,thanks tweet made day
130,hi pleased to learn enjoying new amonline enhanced feature keep progressing better customer experience
131,jugador official hi jugador send email merchant helpdesk com along evidence action
132,hi ensure confidentiality privacy regret inform unable act request disclose account information via channel advised call ambank contact center assistance
133,hi kindly advised ambank provide softcopy hire purchase registration card rc may request original rc calling ambank contact center assistance
134,thank recognition congrats ambankers
135,hi sorry ensure confidentiality privacy regret inform unable act request disclose account information via channel may call ambank call center account related amp inquiry
136,let u lend helping hand put together series essential kit include package offer solution help check
137,hi regret inform longer operate saturday amp sunday nationwide
138,hi thank you choosing ambank preferred bank please accept customer
139,hi kindly advised since referred matter concerning department review clarification
140,hi would really appreciate could dm u detail u raise report regarding issue
141,hi sincere apology inconvenience encountered since highlighted matter said branch swift action thank you
142,Nurashikin greeting ambank hi ani n nordin may request document sent registered mailing address per bank record via one following channel call ambank contact center send message via amonline amonline user
143,best wishes ambank hi apologize inconvenience please submit error message appearing screen advice
144,greeting ambank hi kavitha seras please complete process via amonline may onwards login amonline via web browser note moratorium feature available amonline mobile app regard
145,happy birthday ambank hi mysarr please log amonline web browser moratorium feature available amonline mobile application
146,greeting ambank hi bread pizza login amonline via web browser note moratorium feature available amonline mobile app thank you
147,nagasaki greeting ambank hi nagasaki informed advised contact ambank call center first purpose registration tac service
148,greeting ambank hi katik kindly informed customer contact center p daily alternatively may compose message via amonline account assistance regard
149,greeting ambank hi hanimomo kindly informed customer contact center p daily regard
150,best wishes ambank hi appreciate providing error message appearing screen advice
151,greeting ambank hi rainn rain go away sunflower may complete process via amonline please login using link thank you
152,greeting ambank hi haridaykumar thank suggestion forwarded suggestion respective unit regard
153,still queuing cash atm sweat conveniently pay good wave ambank debit card shop smart shop easy
154,deadline opt opt hire purchase deferment June visit amonline website click yellow box simple guide please see attached image thank you stay safe everyone
155,nagasaki hi akira nagasaki recommend contact call center morning status review phone 's status recommends phone number updated receipt tac code
156,greeting ambank hi adi amonline registration using loan financing account tac authentication required please contact ambank contact center register mobile number regard
157,greeting ambank hi kindly informed turnaround time process change contact number within working day apologize inconvenience caused regard
158,notice precautionary measure contain covid outbreak notification prevention step transmission deputy covid
159,hi rissu information application account opening started ambank branch near thank you
160,hi su order maintain account information recommend contact call center morning review assistance alternatively send message via amonline registered user
161,notice precautionary measure contain covid outbreak notification prevention step transmission deputy covid
162,hi winshole information online banking amonline experienced problem appreciate cooperation retry make transaction transaction
163,hi linismail please note image error occur enter inaccurate user word recommend contact call center online make user's review
164,hi jamren otol please note registration phone number made calling customer service center morning branch ambank counter thank you
165,hi jamren otol please note ambank informed customer share following website link review thank you
166,hi adwamurshid apologize difficulty experienced appreciate dm u review assistance thank you
167,hi jamren autol appreciate able state type loan account hope application vehicle financing opt postponement opt opt .
168,wan hi wan muhammad syukri recommendation may call hotline check account status addition may also check sender bank update thank you
169,hi contact call center online assistance
170,hi umm review also send personal message via amonline please refer following link number see step send message amonline
171,notice precautionary measure contain covid outbreak notification prevention step transmission deputy covid
172,hi irdianaghuair recommend contact call center morning review assistance please note registration made link
173,hi sea gem recommend contact ambank customer service center morning ambank branch near work day
174,hi hesoyam recommend contact call center morning review assistance
175,hi alif latif appreciate get dm inbox review help thank you
176,hi aulaire cheng line recent announcement dated th april made bnm cater hire purchase loan amp financing fixed rate islamic financing amp industrial hire purchase share link regard
177,hi korr wish share operating hour branch state revised p except pulau pangkor branch pm pulau pangkor branch end movement control order thank you
178,hariz hai aamnhrz information application full settlement statement requires payment according to type loan financing account share following link
179,hi r trexx registered amonline kindly visit amonline click register regard
180,hi connection new announcement made bnm ambank's moratorium implementation home loan information announced website soon possible
181,hi afzar rashid kindly visit amonline click yellow box login moratorium application regard
182,hi adi require information assistance register tac number please call ambank contact center regard
183,hi azurazul connection new announcement made bnm ambank moratorium implementation home loan full information announced website soon possible understanding greatly appreciated
184,waltervictor greeting ambank hi waltervictor kindly refer following link information regard
185,conjunction hari raya celebration get rm worth rm atm machine several ambank branch selected may may visit list ambank atm machine location near
186,additional step complete process deferring hp hp monthly installment payment taken deferment opt pls see infographic complete process via amonline visit detail
187,let u lend helping hand put together series essential kit include package offer solution help check
188,world live change launch online ecommerce business quickly exclusive package smes ambank maxi welcome sme box visit detail
189,business adjusting mco tough join plus solar webinar tomorrow featuring chris yap others insightful strategy amp register today
190,hi everyone bring important message covid scam fraudulent agent difficult time everyone please extra cautious meanwhile please stay safe take care time
191,good morning everyone please take note latest announcement moratorium please take care thank banking u
192,official hi adi application amonline need get consent regarding new revised term loan financing facility thank you
193,hi eve nabilla product involved follows rent rent buy ammoneyline personal financing residential real estate housing financing commercial property financing fixed purchase industry rental industry rental purchase
194,hi alia suggestion may call careline pm assistance transaction detail regard number deactivated kindly consult telco thank you
195,hi syaf azriq report unsuccessful transaction recommend contacting customer service center morning assistance thank you
196,hi appreciate may confirm decision either opt opt moratorium amonline thank you
197,hi hire purchase hire purchase ammoneyline fixed rate residential property financing fixed rate commercial property financing industrial hire purchase industrial hire purchase good hp act industrial hire purchase regard
198,official hi adi appreciate may confirm decision either opt opt moratorium amonline detail kindly visit regard
199,hi ruff want participate opt post accord ambank amonline application date open thank you
200,dhia hi mademoisella dhia want to participate opt post accordance ambank via amonline application date open thank you
201,hi nur syazwin ruslan appreciate may confirm decision either opt opt moratorium amonline need accept revised term loan financing facility detail kindly visit tq
202,dhia hai aman salim period time given customer enough time balance whether participate delay need accept revised loan financing loan term
203,observe month ramadhan trying time recognize may face challenge managing additional expense like insurance premium let u help providing value use trade expense
204,business adjusting mco tough join plus solar webinar featuring chris yap others insightful strategy amp register today
205,dear valued customer bring update branch operation meanwhile please take care time
206,bring update precautionary measure contain covid outbreak branch meanwhile please stay safe take care time
207,official hi neomal neo may provide u personal details via dm assistance regard
208,hi wan muhammad syukri may provide u personal detail assistance unable to assist without information regard
209,hi neomal neo offering customer option convert outstanding balance credit card credit card account term loan financing fixed payment plan credit card tenure month thank you
210,hi neomal neo penalty charge imposed arrange payment according to account due date thank you
211,wan hi wan muhammad syukri please note process opt request accordingly align request send u monthly installment month april september shall updated opt request sucessfully processed thank
212,wan official hi wan muhammad syukri may provide u personal detail assistance unable to assist without information regard
213,however apply convert credit card outstanding term loan may defer payment six months may refer amp c link
214,hi regard query kindly advised deferment scheme applicable credit card account hence payment made accordingly
215,wan hi wan muhammad syukri appreciate may dm u detail assistance thank you
216,hi ahmad mudzaffar recommend contact ambank call center online morning make amonline status check thank you
217,hi eeyanisha suggest clean search history device along cache -try
218,best wishes ambank hi arandomhobo help
219,notice revision grand prize visa olympic game tokyo campaign campaign valid april full amp c visit
220,bring complimentary covid coverage amassurance policyholder please stay safe take care time
221,bring update branch operation please visit latest update faq covid related matter meanwhile pls stay safe take care time
222,hi zakeyjavis please refer faq website thank you
223,hi adisofri kindly refer faq deferment scheme via link thank you
224,deraman hi akashah deraman would appreciate could disregard dispose message intended recipient inconvenience caused much regretted thank you
225,x hi azlynn x kindly refer faq link regarding interest deferment scheme thank you
226,movement control order always help investment business banking need via online facility information contact u helpdesk ebiz com take care stay safe
227,hi kindly refer reply via pm thank you
228,hi may submit opt request april via sm complete form link thank you
229,hi would appreciate could send message via amonline retrieve account number detail thank you
230,hi kindly refer reply via pm thank you
231,hi everyone bring update automatic deferment loan financing payment meanwhile pls take care
232,nabeb hi nabeb deferment offer applicable loan financing denominated malaysian ringgit arrears day april may visit link faq thank you
233,hi movement control order contact center operation hour revised pm daily would appreciate could send message via amonline assistance thank you
234,hi may reply wish continue paying monthly installments usual thank you
235,hi sm ambank customer wish opt deferment scheme kindly reply wish opt scheme thank you
236,hi please contact ambank call center morning night help alternative please check account information via amonline thank you
237,assist hi kindly refer reply via pm thank you
238,hi kindly refer reply via pm thank you
239,hi sm sent ambank customer chooses postpone loan payment please reply message choose postpone loan payment thank you
240,hi derek wish to inform epf kiosk branch longer available thank you
241,hi accordance ambank call center movement control order operating morning day help check loan account information via amonline thank you
242,hi may call contact center operation hours pm daily assistance account details kindly send message via amonline thank you
243,hi access account information via twitter please send message via amonline review transaction status thank you
244,hi postponement scheme offered financing loan ringgit malaysia denomination without outstanding balance april april please visit site postponement scheme faq
245,hi postponement scheme offered financing loan ringgit malaysia denomination without outstanding balance april please refer postponement scheme faq thank you
246,hi miss send message via amonline help account thank you
247,hi please contact ambank call center morning review tac status thank you
248,happy best ambank hi help today
249,hi informed accord ambank call center movement control order operating morning day alternative check account information amonline thank you
250,hi informed accord ambank call center movement control order operating morning day alternative check account information amonline thank you
251,hi please contact ambank call center online review loan account thanks
252,hi please informed ambank call center line operates morning continue monthly installment payment usual postponement period please refer faq
253,good morning please see latest update branch operation visit latest development stay safe take care everyone
254,greeting ambank hi information kindly visit website link stay home stay safe regard
255,greeting ambank hi kindly informed offer applicable loan financing auto enrollment denominated malaysian ringgit balance overdue day april period month stay home stay safe
256,hi would appreciate being able to check loan balance via amonline thank you
257,hi may remit payment current month due date deferment scheme take effect april thank you
258,hi ensure confidentiality amp security unable to access account details via twitter kindly check loan payment status via amonline thank you
259,hi please visit the postponement scheme site thank you
260,official hi please visit postponement scheme site thank you
261,recently updated auto deferment individual sme loan financing repayment process amp faq customer wish opt auto deferment continue regular monthly installment visit detail stay safe
262,best wishes ambank hi please refer dm see feedback
263,greeting ambank hi would appreciate may refer dm reply feedback stay home stay safe regard
264,best wishes ambank hi please refer inbox see feedback
265,best wishes ambank hi please refer dm see feedback
266,best wishes ambank hi regarding interest interest please visit website information stay healthy
267,hi offer automatic registration financing loan ringgit malaysian ringgit without outstanding balance april april take care stay healthy much
268,assist greeting ambank hi would appreciate may refer dm reply feedback stay home stay safe regard
269,greeting ambank hi would appreciate may refer dm reply feedback stay home stay safe regard
270,best wishes ambank hi please refer inbox see feedback
271,greeting ambank hi kindly informed offer applicable loan financing auto enrollment denominated malaysian ringgit balance overdue day april stay home stay safe regard
272,hi may visit link personal loan details thank you
273,hi offer applicable loan financing denominated malaysian ringgit balance overdue day april thank you
274,hi offer financing loan malaysian ringgit denomination without outstanding balance april
275,hi offer financing loan malaysian ringgit denomination without outstanding balance april
276,hi please complete opt form disagree suspension scheme thank you
277,hi please provide full information via pm thank you
278,hi please provide full information via pm thank you
279,hi offer loan ringgit malaysia denomination without outstanding balance april information disagree please visit following website
280,hi kindly specify query request assistance thank you
281,hi offer applicable loan financing denominated malaysian ringgit balance overdue day april detail opt please visit thank you
282,hi offer applicable loan financing denominated malaysian ringgit balance overdue day april detail opt please visit thank you
283,greeting ambank hi kindly informed offer applicable loan financing auto enrollment denominated malaysian ringgit balance overdue day april stay home stay safe regard
284,happy birthday ambank hi please refer dm see feedback
285,greeting ambank hi would appreciate refer dm view reply feedback stay home stay safe regard
286,happy birthday ambank hi please refer dm see feedback
287,happy birthday ambank hi please refer dm see feedback
288,greeting ambank hi kindly informed offer applicable loan financing auto enrollment denominated malaysian ringgit balance overdue day april stay home stay safe regard
289,dear valued customer offering deferment individual sme loan financing repayment period six month effect april visit thank banking u stay safe take care
290,assist hi based latest announcement automatic moratorium repayment payment loan financing bank looking process stay tuned update official social medium account thank you
291,hi faiz wahab based latest announcement automatic moratorium payment bank financing loan reviewing process announce development official website social medium account
292,hi based latest announcement automatic moratorium repayment bank financing loan studying process announce development official website social medium account
293,hi based latest announcement automatic moratorium payment bank financing loan studying process announce development official website social medium account
294,dear fleur delie based latest announcement automatic moratorium repayment payment loan financing bank looking process stay tuned update official social medium account thank you
295,happy birthday ambank hi please refer inbox see feedback
296,whiskey greeting ambank hi whiskey sincere apology unpleasant experience encountered kindly allow u look matter shall respond good self accordingly regard
297,happy birthday ambank hi ask cooperation refer dm feedback
298,best wishes ambank hi apologize difficulty encountered please complete information dm action reference full name nric account holder contact contact
299,happy birthday ambank hi ask cooperation refer dm feedback
300,hi zeus apology inconvenience caused would appreciate could dm u personal detail checking matter regard
301,hi mohdzuraidy advise make report ambank branch nearby please bring money confirmation branch
302,hi sf ambank group offer temporary deferment installment repayment month may contact ambank contact center please dm u detail full name ic type financing contact number regard
303,happy birthday ambank hi mfco special payment scheme loan ambank
304,greeting ambank hi johan taharin ambank group offer temporary deferment installment repayment month may contact ambank contact center please dm u detail full name ic type financing contact number regard
305,good evening everyone bring urgent update branch operation meanwhile please remain home stay safe take care
306,greeting ambank hi ambank group offer temporary deferment scheme monthly installment repayment month would appreciate could contact ambank retail collection unit clarification stay safe
307,happy birthday ambank hi ambank offer temporary delay scheme ambank financing customer affected coronavirus outbreak please contact calling call center collection stay safe
308,happy birthday ambank hi ambank offer temporary delay scheme ambank financing customer affected coronavirus outbreak please contact calling call center collection stay safe
309,fadzil hi ramzdhan thank you please be safe wherever
310,fadzil greeting ambank hi ambank group offer temporary deferment scheme monthly installment repayment month would appreciate could contact ambank retail collection unit clarification please stay safe
311,hello ambank hi tn ambank offer temporary delay scheme ambank financing customer affected coronavirus outbreak please contact call call center collection stay safe
312,happy birthday ambank hi ambank offer temporary delay scheme ambank financing customer affected coronavirus outbreak please contact calling call center collection stay safe
313,greeting ambank hi would appreciate could immediately contact ambank contact center thank you
314,happy birthday ambank hi amirfaliq mj apologize difficulty encountered please submit vehicle registration number phone number via dm investigation ambank offer temporary delay scheme customer
315,greeting ambank hi yusri yusoff ambank group offer temporary deferment scheme monthly installment repayment month would appreciate could contact ambank retail collection unit clarification please stay safe
316,hello ambank hai fleur delie ambank offer temporary delay scheme ambank financing customer impressed coronavirus outbreak please contact call call center credit collection stay safe
317,greeting ambank assure ambank branch affected spread covid take serious precautionary measure ensure operation affected thank you
318,bnm special relief facility smes impacted covid available information please visit
319,doraaaaa advise vigilant share card information unknown party suspect card compromised immediately contact hour ambank call center regard
320,doraaaaa hi dora regard matter assure credible evidence card data leaked would like reassure take data privacy protection seriously amp constantly monitor card transaction unusual activity
321,sarikei advise vigilant share card information unknown party suspect card compromised immediately contact hour ambank call center regard
322,Sarikei hi Sarikei regard matter assure credible evidence card data leaked would like reassure take data privacy protection seriously amp constantly monitor card transaction unusual activity
323,advise vigilant share card information unknown party suspect card compromised immediate contact hour ambank call center regard
324,hi sauffie regard matter assure credible evidence card data leaked would like reassure take data privacy protection seriously amp constantly monitor card transaction unusual activity
325,hi regard matter assure credible evidence card data leaked reassure take data privacy protection seriously amp constantly monitor card transaction unusual activity
326,advise vigilant share card information unknown party suspect card compromised immediate contact hour ambank call center regard
327,hi ccm regard matter assure credible evidence card data leaked reassure take data privacy protection seriously amp constantly monitor card transaction unusual activity
328,suspect card compromised immediately contact hour ambank call center regard
329,advise vigilant share card information personal identification number pin cvv one time password transaction authorization code tac unknown party
330,would like to reassure take data privacy protection seriously constantly monitor card transaction unusual activity
331,hi ayim sincerely apologize delay response pertaining query said matter regard news circulating internet would like assure credible evidence credit debit card data leaked
332,hi n sincerely apologize confusion towards matter sent message regard date leaked issue may refer dm detail regard
333,hi aimi connection inquiry recommend contact ambank customer service center review
334,recommend contact ambank jam call center online review case customer service executive help confirming difficulty face
335,hi yes information please visit website link regard
336,hi eykajamaludin appreciate providing error message appearing screen advice
337,Samadi hi Afiqah appreciate providing error message appearing screen advice
338,hi wolfgang replied query may refer dm
339,mainah hi rahman mainah regret learn unpleasant experience encountered would appreciate could dm personal detail investigation said matter regard
340,tamin hi faqih tamin apologize difficulty know whether using mobile phone site application
341,best wishes ambank hi apologize difficulty experienced sent message personal inbox help thank you
342,greetings from ambank hi answered query via dm direct message reference regard
343,greeting ambank hi wish share retail collection hotline number pm monday thursday pm friday regard
344,hi zana issue rectified would appreciate may retry following troubleshooting step make sure phone high coverage restarted phone refresh network alternatively may swap sim another phone retry regard
345,greeting ambank hi muhammad fatrim please advised visit nearest ambank branch clarification amount charged regard
346,greeting ambank hi thank you feedback suggestion highlight matter management improvement future serve better thank you
347,greeting ambank hi believe issue rectified suggest may retry let u know issue still persists thank you
348,happy birthday ambank hi senget information payment receipt issued payment made proposal check payment status amonline application
349,best wishes ambank hi suggestion check balance vehicle rental financing account alternative amonline application contact ambank clock call center online
350,greeting ambank hi wish share accumulated ambonus point applicable viewed monthly statement amonline application e statement column regard
351,hi tengku alauddin please inform auto financing applicable new used car please visit nearest ambank branch proceed application regard
352,greeting ambank hi sincere apologize late respond dm kindly informed replied dm accordingly concerning query would appreciate may refer dm regard
353,zainol greeting ambank hi zainol apologize delay giving feedback please note action confirm relevant section
354,greeting ambank hi replied dm accordingly regard
355,greeting ambank hi nurlidiah sincere apology unpleasant experience encountered would appreciate could provide detail investigation via pm private message full name contact number regard
356,happy share local amp international award recognition continuous effort serve amp meet need respective market amp commitment towards business excellence amp customer satisfaction thank dear customer continuous support u
357,best wishes ambank hi apologize difficulty faced please note developed matter relevant section action difficulty faced
358,hi may walk nearest ambank branch account opening detail saving account product may refer link regard
359,earlier morning lion dance troop visited menara ambank chairman tan sri azman hashim senior management team fellow colleague customer ground watch entertaining lion dance huat ah everyone
360,hi ainn appreciate providing detailed description problem faced advice
361,amal hi miss regret learn unpleasant experience encountered branch apology inconvenience caused would appreciate could dm u personal detail branch location checking incident regard
362,sharif greeting ambank hi sharif please note relevant ambank branch process check accordingly however recommend confirm ambank branch check status
363,good news fit bank note chinese new year rm rm bank note available via atm machine selected ambank branch nationwide jan till jan visit info
364,kickstarted year metal rat hosting client networking amp appreciation dinner miri last week chief economist dr anthony das shared market outlook mr james yong svp sarawak region opened insightful session
365,"Hi Ummu, still a problem, apologize for the inconvenience"
366,double entry win trip japan need submit nric wechat official account exclusively ambank mastercard credit cardholder campaign period october till january amp c visit
367,double entry win trip japan need submit nric wechat official account exclusively ambank mastercard credit cardholder campaign period october till january amp c visit
